Event Name,Event Type,Title,Qualifications
High Stakes with AusTIN CANs I: Blended Event,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship;UIL Championship
VEX V5 Halloween Madness HS High Stakes at Cypress Springs HS,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship;UIL Championship
VEX V5 Halloween Madness HS High Stakes at Cypress Springs HS,Other,Judges Award (VRC/VEXU/VAIC/ADC/VAIRC),
VEX VEX V5 Robotics Competition Katy Gobbler Games: Blended High Stakes,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship;UIL Championship
VEX VEX V5 Robotics Competition Katy Gobbler Games: Blended High Stakes,Other,Robot Skills Champion (VRC/VEXU/VAIRC),
VEX V5 Robotics Competition High Stakes Cy-Ridge Open: HS Only,Other,Excellence Award (VRC/VEXU/VAIRC),Event Region Championship
VEX V5 Robotics Competition High Stakes Cy-Ridge Open: HS Only,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship;UIL Championship
VEX V5 Robotics Competition Katy Ring in the Year HS: High Stakes,Other,Excellence Award (VRC/VEXU/VAIRC),Event Region Championship
VEX V5 Robotics Competition Katy Ring in the Year HS: High Stakes,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship;UIL Championship
Bridgeland HS VEX V5RC High Stakes Open: [HS Only/Remote Engineering Notebooks],Other,Excellence Award (VRC/VEXU/VAIRC),Event Region Championship
Bridgeland HS VEX V5RC High Stakes Open: [HS Only/Remote Engineering Notebooks],Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship;UIL Championship
Bridgeland HS VEX V5RC High Stakes Open: [HS Only/Remote Engineering Notebooks],Other,Robot Skills Champion (VRC/VEXU/VAIRC),Event Region Championship
Texas V5RC High School Region 3 Championship: VEX V5 Robotics Competition,Regional,Robot Skills 3rd Place (VRC/VEXU/VAIRC),
Texas V5RC High School Region 3 Championship: VEX V5 Robotics Competition,Regional,Amaze Award (VRC/VEXU/VAIRC),World Championship
