Event Name,Event Type,Title,Qualifications
PHSC Bobcat Robotics Rumble Rama High Stakes Tournament (MS/HS): Fall Tournament - Middle and High School Teams,Other,Design Award (VRC/VEXU/VAIRC),Event Region Championship
4th Annual Knights Gambit V5RC-High Stakes (Middle & High School): NeoCity Academy,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
4th Annual Knights Gambit V5RC-High Stakes (Middle & High School): NeoCity Academy,Other,Design Award (VRC/VEXU/VAIRC),Event Region Championship
Christmas in the APK: Hosted by AHS Robotics,Other,Design Award (VRC/VEXU/VAIRC),Event Region Championship
ROBOTICON Rumble 2024 - VEX V5 Robotics Competition - MS&HS: High Stakes in Tampa!,Other,Excellence Award (VRC/VEXU/VAIRC),Event Region Championship
Warrior Robotics Competition V5RC Middle & High School Teams,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
Warrior Robotics Competition V5RC Middle & High School Teams,Other,Innovate Award (VRC/VEXU/VAIRC),
Ram Robotics High Stakes Winter Challenge MS/HS,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
Ram Robotics High Stakes Winter Challenge MS/HS,Other,Design Award (VRC/VEXU/VAIRC),Event Region Championship
2025 North/Central Florida High School Event Region Championship: VEX V5 Robotics Competition,Regional,Judges Award (VRC/VEXU/VAIC/ADC/VAIRC),
