Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Qualifier #9,2025-01-15T07:07:43-05:00,18,6,12,0.5,W,red,red,23805S,52767A,70824A,91555C
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Qualifier #15,2025-01-15T07:37:46-05:00,22,7,15,0.5172413793103449,W,blue,blue,51238B,25334A,68074M,23805S
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Qualifier #18,2025-01-15T07:55:22-05:00,19,23,-4,-0.09523809523809523,L,red,blue,47430A,23805S,54390A,51238A
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Qualifier #22,2025-01-15T08:14:10-05:00,19,9,10,0.35714285714285715,W,blue,blue,54390A,42206A,51238B,23805S
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Qualifier #26,2025-01-15T08:32:19-05:00,0,6,-6,-1.0,L,red,blue,23805S,47430A,93714M,15452A
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Qualifier #29,2025-01-15T08:42:43-05:00,6,12,-6,-0.3333333333333333,L,blue,red,42206B,15452A,93714B,23805S
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Qualifier #34,2025-01-15T09:05:28-05:00,16,6,10,0.45454545454545453,W,red,red,23805S,70824A,42787A,42206A
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,QF #4-1,2025-01-15T10:26:18-05:00,14,6,8,0.4,W,red,red,54390A,23805S,42206A,42206B
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,SF #2-1,2025-01-15T10:39:26-05:00,14,3,11,0.6470588235294118,W,blue,blue,25334A,51238A,54390A,23805S
VRC | High Stakes | Galway Regional | (MS/HS): Organised by ATU Galway,Other,Event Region Championship,Final #1-1,2025-01-15T10:46:30-05:00,29,3,26,0.8125,W,blue,blue,15452A,91555C,54390A,23805S
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,Qualifier #3,2025-01-28T06:25:03-05:00,11,12,-1,-0.043478260869565216,L,red,blue,23805S,9942E,9942V,81785K
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,Qualifier #8,2025-01-28T06:51:46-05:00,19,24,-5,-0.11627906976744186,L,blue,red,3182A,81785G,37551A,23805S
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,Qualifier #13,2025-01-28T07:09:17-05:00,33,3,30,0.8333333333333334,W,red,red,81785B,23805S,36950E,94641A
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,Qualifier #18,2025-01-28T07:28:56-05:00,28,6,22,0.6470588235294118,W,blue,blue,19441A,24384A,23805S,42968A
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,Qualifier #23,2025-01-28T07:45:23-05:00,21,23,-2,-0.045454545454545456,L,red,blue,95561A,23805S,81785A,76600A
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,Qualifier #32,2025-01-28T08:14:26-05:00,18,9,9,0.3333333333333333,W,blue,blue,24384A,51316A,9942Z,23805S
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,QF #1-1,2025-01-28T10:01:23-05:00,30,0,30,1.0,W,red,red,81785B,23805S,36950E,9942V
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,SF #1-1,2025-01-28T10:27:59-05:00,22,12,10,0.29411764705882354,W,red,red,81785B,23805S,42968A,3182A
V5RC | High Stakes | Limerick Regional | (HS Only): Organised by Dell Technologies,Other,Event Region Championship,Final #1-1,2025-01-28T10:43:20-05:00,3,25,-22,-0.7857142857142857,L,red,blue,81785B,23805S,81785G,81785A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #3,2025-02-25T05:26:20-05:00,8,26,-18,-0.5294117647058824,L,red,blue,23805S,91555C,81785K,9942V
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #12,2025-02-25T06:08:39-05:00,16,3,13,0.6842105263157895,W,blue,blue,67732C,20123A,23805S,51238A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #19,2025-02-25T06:40:48-05:00,19,24,-5,-0.11627906976744186,L,blue,red,28657A,48649A,24384A,23805S
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #23,2025-02-25T06:58:59-05:00,24,29,-5,-0.09433962264150944,L,red,blue,54390A,23805S,34217A,42968A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #32,2025-02-25T07:33:47-05:00,16,13,3,0.10344827586206896,W,blue,blue,67732C,67732B,23805S,9942V
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #35,2025-02-25T07:45:21-05:00,40,26,14,0.21212121212121213,W,red,red,23805S,81785G,15452A,17280A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #44,2025-02-25T08:19:50-05:00,27,10,17,0.4594594594594595,W,red,red,23805S,81785B,91555C,14198A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Qualifier #49,2025-02-25T08:42:00-05:00,16,6,10,0.45454545454545453,W,blue,blue,11143A,22907D,23805S,9942X
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,R16 #6-1,2025-02-25T10:06:04-05:00,22,12,10,0.29411764705882354,W,red,red,23805S,54390A,14198A,9942V
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,QF #3-1,2025-02-25T10:36:11-05:00,32,21,11,0.20754716981132076,W,blue,blue,51238A,81785A,23805S,54390A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,SF #2-1,2025-02-25T11:13:32-05:00,21,12,9,0.2727272727272727,W,red,red,23805S,54390A,34217A,28657A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Final #1-1,2025-02-25T11:30:19-05:00,8,29,-21,-0.5675675675675675,L,blue,red,81785G,9942X,23805S,54390A
V5RC | High Stakes | Irish National | (MS/HS): Organised by Dell Technologies & MTU Cork & RECF,Regional,World Championship,Final #1-2,2025-02-25T11:39:01-05:00,1,32,-31,-0.9393939393939394,L,blue,red,81785G,9942X,23805S,54390A
